rank,title,releasedOn,studio,genre,rating,revenue,tickets
189,Searching for Sugar Man,7/27/12,Mongrel Media,Documentary,PG-13,3031944,380897
190,The Sitter,12/9/11,20th Century Fox,Comedy,R,2974431,373672
191,Flying Monsters 3D,10/6/11,National Geographic Entertainment,Documentary,Not Rated,2927140,367731
192,Happy Feet 2,11/18/11,Warner Bros.,Adventure,PG,2876857,361414
193,Young Adult,12/9/11,Paramount Pictures,Comedy,R,2845067,357420
194,Barfi,9/14/12,UTV Communications,Romantic Comedy,Not Rated,2804874,352371
195,The Met: Live in HD - Aida,12/15/12,NCM Fathom,Concert/Performance,Not Rated,2800000,351758
196,Talaash,11/30/12,Reliance Big Pictures,Drama,Not Rated,2706375,339996
197,Samsara,8/24/12,Oscilloscope Pictures,Documentary,PG-13,2627326,330066
198,Girl in Progress,5/11/12,Pantelion Films,Drama,R,2609412,327815
199,Jiro Dreams of Sushi,3/9/12,Magnolia Pictures,Documentary,PG,2552478,320663
200,Ruby Sparks,7/25/12,Fox Searchlight,Romantic Comedy,R,2540106,319108
201,Omerta,7/11/12,Alliance Films,Thriller/Suspense,Not Rated,2462588,309370
202,The Queen of Versailles,7/20/12,Magnolia Pictures,Documentary,PG,2401999,301758
203,Gerhard Richter Painting,3/14/12,Kino Lorber,Documentary,Not Rated,2374911,298355
204,Ek Tha Tiger,8/15/12,Yash Raj Films,Thriller/Suspense,Not Rated,2347774,294946
205,Jack and Jill,11/11/11,Sony Pictures,Comedy,PG,2345071,294606
206,Sleepwalk With Me,8/24/12,IFC Films,Drama,PG-13,2266066,284681
207,Hyde Park on Hudson,12/7/12,Focus Features,Drama,R,2178603,273693
208,Under the Sea 3D,2/13/09,Warner Bros.,Documentary,G,2141337,269012
209,Carnage,12/16/11,Sony Pictures Classics,Drama,R,2125560,267030
210,Space Station,4/19/02,IMAX Films,Documentary,Not Rated,2045739,257002
211,Footnote,3/9/12,Sony Pictures Classics,Drama,PG,2007451,252192
212,Agneepath,1/6/12,Eros Entertainment,Action,Not Rated,1973574,247936
213,English Vinglish,9/28/12,Eros Entertainment,Drama,Not Rated,1862086,233930
214,Shame,12/2/11,Fox Searchlight,Drama,NC-17,1845683,231869
215,Crooked Arrows,5/18/12,Branded Entertainment,Drama,PG-13,1832541,230218
216,Monsieur Lazhar,4/13/12,Music Box Films,Drama,PG-13,1810703,227475
217,Zero Dark Thirty,12/19/12,Sony Pictures,Drama,R,1710132,214840
218,2012 Oscar Shorts,2/10/12,Shorts International,Multiple Genres,Not Rated,1702415,213871
219,We need to Talk About Kevin,1/13/12,Oscilloscope Pictures,Drama,R,1699395,213491
220,Your Sister's Sister,6/15/12,IFC Films,Drama,R,1597486,200689
221,Housefull 2,4/6/12,Eros Entertainment,Comedy,Not Rated,1586745,199339
222,Marley,4/20/12,Magnolia Pictures,Documentary,PG-13,1413480,177572
223,Kid With A Bike,3/16/12,IFC Films,Drama,PG-13,1389524,174563
224,"Farewell, My Queen",7/13/12,Cohen Media Group,Drama,R,1329660,167042
225,Air Racers 3D,4/5/12,3D Entertainment,Documentary,Not Rated,1309987,164571
226,Woman Thou Art Loosed On the 7th Day,4/13/12,Codeblack Entertainment,Drama,PG-13,1301562,163512
227,Killer Joe,7/27/12,LD Distribution,Black Comedy,R,1291645,162266
228,Bol Bachchan,7/6/12,Fox International,,PG,1257892,158026
229,"For a Good Time, Call",8/31/12,Focus Features,Comedy,R,1251749,157254
230,Take This Waltz,6/29/12,Magnolia Pictures,Drama,R,1239692,155740
231,Headhunters,4/27/12,Magnolia Pictures,Thriller/Suspense,R,1200010,150755
232,A Late Quartet,11/2/12,Entertainment One,Drama,R,1165521,146422
233,The Other Son,10/26/12,Cohen Media Group,Drama,PG-13,1160006,145729
234,Ek Main Aur Ekk Tu,2/10/12,UTV Communications,Romantic Comedy,Not Rated,1155545,145168
235,Tower Heist,11/4/11,Universal,Comedy,PG-13,1152000,144723
236,The Deep Blue Sea,3/23/12,Music Box Films,Drama,R,1126027,141460
237,The Oogieloves in the BIG Balloon Adventure,8/29/12,Kenn Viselman Presents,Adventure,G,1065907,133907
238,Cocktail,7/13/12,Eros Entertainment,Romantic Comedy,Not Rated,1027121,129035
239,Damsels in Distress,4/6/12,Sony Pictures Classics,Black Comedy,PG-13,1007535,126574
240,Rampart,11/23/11,Millennium Entertainment,Drama,R,969239,121763
241,Diana Vreeland: The Eye Has to Travel,9/21/12,Samuel Goldwyn Films,Documentary,PG-13,945959,118839
242,Masquerade,9/21/12,CJ Entertainment,Documentary,Not Rated,904240,113597
